"","all_star_status","team_id","team_full_name","link","season","team_code","file_code","team_abbreviation","team_name","location_name","first_year_of_play","short_name","franchise_name","club_name","active","spring_league_id","spring_league_name","spring_league_link","spring_league_abbreviation","venue_id","venue_name","venue_link","spring_venue_id","spring_venue_link","league_id","league_name","league_link","division_id","division_name","division_link","sport_id","sport_link","sport_name","parent_org_name","parent_org_id"
"46","N",1960,"St. Paul Saints","/api/v1/teams/1960",2022,"stp","t1960","STP","Saints","St. Paul","1993","St. Paul","St. Paul","Saints",TRUE,NA,"","","",5472,"CHS Field","/api/v1/venues/5472",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Minnesota Twins",142
"47","N",552,"Syracuse Mets","/api/v1/teams/552",2022,"syr","t552","SYR","Mets","Syracuse","1927","Syracuse","Syracuse","Mets",TRUE,NA,"","","",2823,"NBT Bank Stadium","/api/v1/venues/2823",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","New York Mets",121
"48","N",4904,"El Paso Chihuahuas","/api/v1/teams/4904",2022,"elp","t4904","ELP","Chihuahuas","El Paso","2014","El Paso","El Paso","Chihuahuas",TRUE,NA,"","","",4669,"Southwest University Park","/api/v1/venues/4669",NA,"",112,"Pacific Coast League","/api/v1/league/112",233,"Pacific Coast League East","/api/v1/divisions/233",11,"/api/v1/sports/11","Triple-A","San Diego Padres",135
"49","N",105,"Sacramento River Cats","/api/v1/teams/105",2022,"src","t105","SAC","River Cats","Sacramento","2000","Sacramento","Sacramento","River Cats",TRUE,NA,"","","",2529,"Sutter Health Park","/api/v1/venues/2529",NA,"",112,"Pacific Coast League","/api/v1/league/112",231,"Pacific Coast League West","/api/v1/divisions/231",11,"/api/v1/sports/11","Triple-A","San Francisco Giants",137
"50","N",234,"Durham Bulls","/api/v1/teams/234",2022,"dub","t234","DUR","Bulls","Durham","1945","Durham","Durham","Bulls",TRUE,NA,"","","",2541,"Durham Bulls Athletic Park","/api/v1/venues/2541",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","Tampa Bay Rays",139
"51","N",235,"Memphis Redbirds","/api/v1/teams/235",2022,"mrb","t235","MEM","Redbirds","Memphis","1984","Memphis","Memphis","Redbirds",TRUE,NA,"","","",2542,"AutoZone Park","/api/v1/venues/2542",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","St. Louis Cardinals",138
"52","N",556,"Nashville Sounds","/api/v1/teams/556",2022,"nas","t556","NAS","Sounds","Nashville","1978","Nashville","Nashville","Sounds",TRUE,NA,"","","",4715,"First Horizon Park","/api/v1/venues/4715",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Milwaukee Brewers",158
"53","N",494,"Charlotte Knights","/api/v1/teams/494",2022,"chr","t494","CLT","Knights","Charlotte","1954","Charlotte","Charlotte","Knights",TRUE,NA,"","","",4670,"Truist Field","/api/v1/venues/4670",NA,"",117,"International League","/api/v1/league/117",219,"International League East","/api/v1/divisions/219",11,"/api/v1/sports/11","Triple-A","Chicago White Sox",145
"54","N",238,"Oklahoma City Dodgers","/api/v1/teams/238",2022,"okc","t238","OKC","Dodgers","Oklahoma City","1962","Okla. City","Oklahoma City","Dodgers",TRUE,NA,"","","",2843,"Chickasaw Bricktown Ballpark","/api/v1/venues/2843",NA,"",112,"Pacific Coast League","/api/v1/league/112",233,"Pacific Coast League East","/api/v1/divisions/233",11,"/api/v1/sports/11","Triple-A","Los Angeles Dodgers",119
"55","N",431,"Gwinnett Stripers","/api/v1/teams/431",2022,"gwi","t431","GWN","Stripers","Lawrenceville","1966","Gwinnett","Gwinnett","Stripers",TRUE,NA,"","","",3810,"Coolray Field","/api/v1/venues/3810",NA,"",117,"International League","/api/v1/league/117",221,"International League West","/api/v1/divisions/221",11,"/api/v1/sports/11","Triple-A","Atlanta Braves",144
